Conference,Division,School,Contact Name,Title,Sports,Address,City,State,Zip Code,,,,,,
Metro Atlantic (MAAC),NCAA I,SAINT PETER'S UNIVERSITY,Jenn Houseward,Head Coach,Women's Bowling,2641 John F Kennedy Blvd.,Jersey City,NJ,07306-5943,,,,,,
Michigan CC Athletic Assn,NJCAA I,ANCILLA COLLEGE,Alvin Franklin,Head Coach,Women's Bowling,PO Box 1,Donaldson,IN,46513-0000,,,,,,
Michigan CC Athletic Assn,NJCAA I,MID MICHIGAN COMMUNITY COLLEGE,Joel Warner,Head Coach,Women's Bowling,1375 S. Clare Ave.,Harrison,MI,48625-0000,,,,,,
Michigan CC Athletic Assn,NJCAA I,MUSKEGON COMMUNITY COLLEGE,Bill Bowen,Head Coach,Women's Bowling,221 S Quarterline Rd.,Muskegon,MI,49442-1432,,,,,,
Michigan CC Athletic Assn,NJCAA I,SCHOOLCRAFT COLLEGE,Patrick Yelsik,Head Coach,Women's Bowling,18600 Haggerty Rd,Livonia,MI,48152-2696,,,,,,
Michigan Intercollegiate,NCAA III,ADRIAN COLLEGE,Marq Hicks,Head Coach,Women's Bowling,110 South Madison Street,Adrian,MI,49221-2518,,,,,,
Michigan Intercollegiate,NCAA III,ALMA COLLEGE,Kyle Woodcock,Head Coach,Women's Bowling,614 W Superior St,Alma,MI,48801-1511,,,,,,
Michigan Intercollegiate,NCAA III,OLIVET COLLEGE,Dave Jackson,Head Coach,Women's Bowling,320 S. Main St.,Olivet,MI,49076-9406,,,,,,
Michigan Intercollegiate,NCAA III,TRINE UNIVERSITY,Bill Burke,Head Coach,Women's Bowling,1 University Avenue,Angola,IN,46703-1764,,,,,,
Mid-America Intercollegiate,NCAA II,"CENTRAL MISSOURI, UNIVERSITY OF",Ron Holmes,Head Coach,Women's Bowling,500 S Washington St,Warrensburg,MO,64093-5223,,,,,,
CCIW,NCAA III,ELMHURST COLLEGE,Mike Nape,Head Coach,Women's Bowling,190 Prospect Ave,Elmhurst,IL,60126-3271,,,,,,
Great Lakes Valley,NCAA II,MARYVILLE U.-ST. LOUIS,Brandi Branka,Head Coach,Women's Bowling,650 Maryville University Drive,Saint Louis,MO,63141-7232,,,,,,
Great Lakes Valley,NCAA II,MCKENDREE UNIVERSITY,Shannon O'Keefe,Head Coach,Women's Bowling,Melvin Price Convocation Ctr.,Lebanon,IL,62254-0000,,,,,,
Mid-Eastern (MEAC),NCAA I,BETHUNE-COOKMAN UNIVERSITY,Charles Thomas,Head Coach,Women's Bowling,640 Dr. Mary McLeod Bethune Blvd.,Daytona Beach,FL,32114-3099,,,,,,
Mid-Eastern (MEAC),NCAA I,COPPIN STATE UNIVERSITY,Shaunita Middleton,Head Coach,Women's Bowling,2500 W North Ave,Baltimore,MD,21216-3698,,,,,,
Mid-Eastern (MEAC),NCAA I,DELAWARE STATE UNIVERSITY,Kayla Stamm,Head Coach,Women's Bowling,1200 N. Dupont Hwy,Dover,DE,19901-0000,,,,,,
Mid-Eastern (MEAC),NCAA I,FLORIDA A&M UNIVERSITY,B. Karen Brown,Head Coach,Women's Bowling,1835 Wahnish Way,Tallahassee,FL,32307-0000,,,,,,
Mid-Eastern (MEAC),NCAA I,HAMPTON UNIVERSITY,Lee A. Davis,Head Coach,Women's Bowling,121 Holland Hall,Hampton,VA,23668-0000,,,,,,
Mid-Eastern (MEAC),NCAA I,HOWARD UNIVERSITY,Ronald Davis,Head Coach,Women's Bowling,"6th & Girard Streets, N.W.",Washington,DC,20059-0000,,,,,,
Mid-Eastern (MEAC),NCAA I,"MARYLAND, U. OF (Eastern Shore)",Kayla Bandy,Head Coach,Women's Bowling,William P. Hytche Athletic Center,Princess Anne,MD,21853-0000,,,,,,
Mid-Eastern (MEAC),NCAA I,MORGAN STATE UNIVERSITY,Wendell Burke,Head Coach,Women's Bowling,1700 E. Cold Spring Ln,Baltimore,MD,21251-0001,,,,,,
Mid-Eastern (MEAC),NCAA I,NORFOLK STATE UNIVERSITY,Wilhelmenia Harrison,Head Coach,Women's Bowling,Norfolk State University Athletics,Norfolk,VA,23504-8050,,,,,,
Mid-Eastern (MEAC),NCAA I,NORTH CAROLINA A&T STATE U.,Kim Terrell-Kearney,Head Coach,Women's Bowling,1601 E. Market St.,Greensboro,NC,27411-0000,,,,,,
Mid-Hudson,NJCAA I,ROCKLAND COMMUNITY COLLEGE,Joe Ardiri,Head Coach,Women's Bowling,145 College Rd,Suffern,NY,10901-0000,,,,,,
Mid-Hudson,NJCAA I,WESTCHESTER COMMUNITY COLLEGE,Walter Hauck,Head Coach,Women's Bowling,75 Grasslands Rd.,Valhalla,NY,10595-0000,,,,,,
Southern States,NAIA 1,BETHEL UNIVERSITY (TN),Clay Boyd,Head Coach,Women's Bowling,325 Cherry Avenue,McKenzie,TN,38201-0000,,,,,,
Mid-South,NAIA 1,CAMPBELLSVILLE UNIVERSITY,Jamie Lawrence,Head Coach,Women's Bowling,1 University Dr.,Campbellsville,KY,42718-2190,,,,,,
Mid-South,NAIA 1,"CUMBERLANDS, UNIVERSITY OF THE",Kevin Reigle,Head Coach,Women's Bowling,6526 College Station Dr.,Williamsburg,KY,40769-1386,,,,,,
Mid-South,NAIA 1,LIFE UNIVERSITY,Jeff Halen,Head Coach,Women's Bowling,1269 Barclay Circle,Marietta,GA,30060-0000,,,,,,
Mid-South,NAIA 1,LINDSEY WILSON COLLEGE,Brandon Burns,Head Coach,Women's Bowling,210 Lindsey Wilson St.,Columbia,KY,42728-0000,,,,,,
Mid-South,NAIA 1,"PIKEVILLE, UNIVERSITY OF",Bobby Brown,Head Coach,Women's Bowling,147 Sycamore St,Pikeville,KY,41501-1113,,,,,,
Mid-South,NAIA 1,SHAWNEE STATE UNIVERSITY,Bryan Sturgell,Head Coach,Women's Bowling,940 Second St.,Portsmouth,OH,45662-4303,,,,,,
Mid-State,NJCAA I,CORNING COMMUNITY COLLEGE,Paul Andrews,Head Coach,Women's Bowling,1 Academic Dr,Corning,NY,14830-3297,,,,,,
Mountain East,NCAA II,NOTRE DAME COLLEGE,Stacey Hoover,Head Coach,Women's Bowling,4545 College Road,South Euclid,OH,44121-4293,,,,,,
Mountain Valley,NJCAA I,FULTON-MONTGOMERY CC,Tom Rathbun,Head Coach,Women's Bowling,2805 State Hwy 67,Johnstown,NY,12095-3790,,,,,,
Mountain Valley,NJCAA I,HERKIMER COUNTY COMMUNITY COLLEGE,Anthony DeLuca,Head Coach,Women's Bowling,100 Reservoir Road,Herkimer,NY,13350-0000,,,,,,
Mountain Valley,NJCAA I,HUDSON VALLEY COMMUNITY COLLEGE,Joe Prest,Head Coach,Women's Bowling,80 Vandenburgh Ave.,Troy,NY,12180-6025,,,,,,
Mountain Valley,NJCAA I,MOHAWK VALLEY COMMUNITY COLLEGE,David Hyle,Head Coach,Women's Bowling,1101 Sherman Dr,Utica,NY,13501-5308,,,,,,
Mountain Valley,NJCAA I,SCHENECTADY COUNTY COMMUNITY COLLEGE,Ray Ross,Head Coach,Women's Bowling,78 Washington Ave,Schenectady,NY,12305-2215,,,,,,
NCCAA,Ind 4yr,GRACE BIBLE COLLEGE,Open,Head Coach,Women's Bowling,1011 Aldon St.,Grand Rapids,MI,49509-0910,,,,,,
North Star Athletic Association,NAIA 1,VITERBO UNIVERSITY,Jim Socha,Head Coach,Women's Bowling,900 Viterbo Drive,La Crosse,WI,54601-0000,,,,,,
Central Atlantic,NCAA II,CALDWELL UNIVERSITY,Ken Yokobosky,Head Coach,Women's Bowling,120 Bloomfield Ave.,Caldwell,NJ,07006-6109,,,,,,
A-10,NCAA I,DUQUESNE UNIVERSITY,Jody Fetterhoff,Head Coach,Women's Bowling,600 Forbes Avenue,Pittsburgh,PA,15282-0000,,,,,,
Northeast,NCAA I,FAIRLEIGH DICKINSON U. (Metropolitan),Mike LoPresti,Head Coach,Women's Bowling,1000 River Rd. H-AT1-01,Teaneck,NJ,07666-1914,,,,,,
Northeast,NCAA I,LIU BROOKLYN,Kayla Jones,Head Coach,Women's Bowling,1 University Plaza,Brooklyn,NY,11201-0000,,,,,,
Northeast,NCAA I,SACRED HEART UNIVERSITY,Becky Kregling,Head Coach,Women's Bowling,5151 Park Ave,Fairfield,CT,06825-0000,,,,,,
Northeast,NCAA I,SAINT FRANCIS UNIVERSITY,Tom Falbo,Head Coach,Women's Bowling,140 Lakeview Dr.,Loretto,PA,15940-0000,,,,,,
Northeast,NCAA I,ST. FRANCIS COLLEGE,Dawn Gugliaro,Head Coach,Women's Bowling,180 Remsen Street,Brooklyn Heights,NY,11201-4305,,,,,,
Presidents',NCAA III,THOMAS MORE COLLEGE,Michele Colangelo,Head Coach,Women's Bowling,333 Thomas More Parkway,Crestview Hills,KY,41017-3495,,,,,,
Red River,NAIA 1,JARVIS CHRISTIAN COLLEGE,Steve Wallace,Head Coach,Women's Bowling,PR 7631 HWY 80 East,Hawkins,TX,75765-0000,,,,,,
Region 15,NJCAA I,NASSAU COMMUNITY COLLEGE,Larry Dellaquila,Head Coach,Women's Bowling,1 Education Drive,Garden City,NY,11530-0000,,,,,,
Region 15,NJCAA I,SUFFOLK COUNTY COMMUNITY COLLEGE,Ken Rao,Head Coach,Women's Bowling,533 College Rd.,Selden,NY,11784-2851,,,,,,
River States,NAIA 1,"RIO GRANDE, UNIV. OF",Bret Little,Head Coach,Women's Bowling,218 North College Ave.,Rio Grande,OH,45674-0500,,,,,,
SLIAC,NCAA III,SPALDING UNIVERSITY,Barbara Schwiermann,Head Coach,Women's Bowling,824 S. 4th Street,Louisville,KY,40203-0000,,,,,,
Sooner,NAIA 1,SOUTHWESTERN CHRISTIAN UNIVERSITY,Tommy Horsley,Head Coach,Women's Bowling,7210 NW 39th Expressway,Bethany,OK,73008-0000,,,,,,
Southern States,NAIA 1,MARTIN METHODIST COLLEGE,Bob Learn,Head Coach,Women's Bowling,433 W. Madison St.,Pulaski,TN,38478-2716,,,,,,
Conference USA,NCAA I,LOUISIANA TECH UNIVERSITY,Matt Nantais,Head Coach,Women's Bowling,PO Box 3046,Ruston,LA,71272-0000,,,,,,
Metro Atlantic (MAAC),NCAA I,MONMOUTH UNIVERSITY,Karen Grygiel,Head Coach,Women's Bowling,400 Cedar Ave.,West Long Branch,NJ,07764-1804,,,,,,
Southland,NCAA I,SAM HOUSTON STATE UNIVERSITY,Brad Hagen,Head Coach,Women's Bowling,Box 2268,Huntsville,TX,77341-2268,,,,,,
Southland,NCAA I,STEPHEN F. AUSTIN STATE U.,Amber Lemke,Head Coach,Women's Bowling,712 Hayter St.,Nacogdoches,TX,75962-0000,,,,,,
Missouri Valley,NCAA I,VALPARAISO UNIVERSITY,Shon Washington,Head Coach,Women's Bowling,Athletics-Recreation Center,Valparaiso,IN,46383-0000,,,,,,
Sun Conf.,NAIA 1,SAVANNAH COLLEGE OF ART AND DESIGN,Katie Thornton,Head Coach,Women's Bowling,115 E. York St.,Savannah,GA,31401-0000,,,,,,
SWAC,NCAA I,ALABAMA A&M UNIVERSITY,James Moore,Head Coach,Women's Bowling,4900 Meridian Street,Normal,AL,35762-0000,,,,,,
SWAC,NCAA I,ALABAMA STATE UNIVERSITY,Andrew Chatmon,Head Coach,Women's Bowling,915 S. Jackson St.,Montgomery,AL,36106-0000,,,,,,
SWAC,NCAA I,GRAMBLING STATE UNIVERSITY,Kenneth Myers,Head Coach,Women's Bowling,Campus Box 4252,Grambling,LA,71245-0604,,,,,,
SWAC,NCAA I,JACKSON STATE UNIVERSITY,Michael Boykins,Head Coach,Women's Bowling,1400 John R. Lynch St,Jackson,MS,39217-0000,,,,,,
SWAC,NCAA I,PRAIRIE VIEW A&M UNIVERSITY,Glenn White,Head Coach,Women's Bowling,PO Box 519,Prairie View,TX,77446-0519,,,,,,
SWAC,NCAA I,SOUTHERN UNIV. & A&M,Rose Fogg,Head Coach,Women's Bowling,PO Box 9942,Baton Rouge,LA,70813-0000,,,,,,
SWAC,NCAA I,TEXAS SOUTHERN UNIVERSITY,Sabrina Rose,Head Coach,Women's Bowling,3100 Cleburne Ave,Houston,TX,77004-4501,,,,,,
USCAA,Ind 4yr,VILLA MARIA COLLEGE,Jack Jurek,Head Coach,Women's Bowling,240 Pine Ridge Rd.,Buffalo,NY,14225-0000,,,,,,
WIAC,NCAA III,"WISCONSIN, U. OF (Whitewater)",Leann Sullivan,Head Coach,Women's Bowling,112 Wiliams Center,Whitewater,WI,53190-1705,,,,,,
WNYAC,NJCAA I,ERIE COMMUNITY COLLEGE,Tom Ruggiero,Head Coach,Women's Bowling,21 Oak St.,Buffalo,NY,14203-2627,,,,,,
Wolverine-Hoosier,NAIA 1,AQUINAS COLLEGE,Marliss Tapp,Head Coach,Women's Bowling,1607 Robinson Rd SE,Grand Rapids,MI,49506-1741,,,,,,
Wolverine-Hoosier,NAIA 1,CONCORDIA UNIVERSITY (MI),Doug Spicer,Head Coach,Women's Bowling,4090 Geddes Rd,Ann Arbor,MI,48105-0000,,,,,,
Wolverine-Hoosier,NAIA 1,CORNERSTONE UNIVERSITY,Chris Slagter,Head Coach,Women's Bowling,1001 E Beltline Ave NE,Grand Rapids,MI,49525-5803,,,,,,
Wolverine-Hoosier,NAIA 1,INDIANA TECH,Tom Osborne,Head Coach,Women's Bowling,1600 East Washington Blvd.,Fort Wayne,IN,46803-0000,,,,,,
Wolverine-Hoosier,NAIA 1,LAWRENCE TECHNOLOGICAL UNIVERSITY,Kevin Weymss,Head Coach,Women's Bowling,21000 West Ten Mile Rd.,Southfield,MI,48075-0000,,,,,,
Wolverine-Hoosier,NAIA 1,LOURDES UNIVERSITY,Torrie Bartalone,Head Coach,Women's Bowling,6832 Convent Blvd.,Sylvania,OH,43560-0000,,,,,,
Wolverine-Hoosier,NAIA 1,MADONNA UNIVERSITY,Bryan Bressler,Head Coach,Women's Bowling,36600 Schoolcraft Rd.,Livonia,MI,48150-0000,,,,,,
Wolverine-Hoosier,NAIA 1,"MICHIGAN, UNIVERSITY OF (Dearborn)",Marti Marshall,Head Coach,Women's Bowling,4901 Evergreen Rd,Dearborn,MI,48128-1491,,,,,,
Wolverine-Hoosier,NAIA 1,"NORTHWESTERN OHIO, UNIVERSITY OF",Alex VanMetre,Head Coach,Women's Bowling,1441 N. Cable Rd,Lima,OH,45805-0000,,,,,,
Wolverine-Hoosier,NAIA 1,ROCHESTER COLLEGE,Rick Maruszcak,Head Coach,Women's Bowling,800 W Avon Rd,Rochester Hills,MI,48307-2704,,,,,,
Wolverine-Hoosier,NAIA 1,SIENA HEIGHTS UNIVERSITY,Charles Cain,Head Coach,Women's Bowling,1247 E Siena Heights Dr.,Adrian,MI,49221-0000,,,,,,
WPCC,NJCAA I,CCAC BOYCE CAMPUS,Angelo Bordogna,Head Coach,Women's Bowling,595 Beatty Rd,Monroeville,PA,15146-1348,,,,,,
WPCC,NJCAA I,CCAC NORTH CAMPUS,Jeff Leya,Head Coach,Women's Bowling,8701 Perry Hwy,Pittsburgh,PA,15237-5353,,,,,,
WPCC,NJCAA I,PENNSYLVANIA HIGHLANDS COMMUNITY COLLEGE,Mike Lucas,Head Coach,Women's Bowling,101 Community College Way,Johnstown,PA,15904-0000,,,,,,
WPCC,NJCAA I,WESTMORELAND COUNTY CC,John Rahl,Head Coach,Women's Bowling,145 Pavilion Lane,Youngwood,PA,15697-0000,,,,,,
A-10,NCAA I,DAVIDSON COLLEGE,Aimee Price,Head Coach,Women's Cheerleading,209 Ridge Rd.,Davidson,NC,28036-0000,,,,,,
A-10,NCAA I,"DAYTON, UNIVERSITY OF",Kristina Sucher,Head Coach,Women's Cheerleading,300 College Park,Dayton,OH,45469-1230,,,,,,
A-10,NCAA I,DUQUESNE UNIVERSITY,Amanda Ozanich,Head Coach,Women's Cheerleading,600 Forbes Avenue,Pittsburgh,PA,15282-0000,,,,,,
A-10,NCAA I,FORDHAM UNIVERSITY,Jennifer McCarthy,Head Coach,Women's Cheerleading,441 E. Fordham Rd.,Bronx,NY,10458-9993,,,,,,
A-10,NCAA I,GEORGE MASON UNIVERSITY,Ryan Smith,Head Coach,Women's Cheerleading,4400 University Dr. MS 3A5,Fairfax,VA,22030-0000,,,,,,
A-10,NCAA I,"MASSACHUSETTS, U. OF (Amherst)",Kate LaPlante,Head Coach,Women's Cheerleading,Boyden Bldg.,Amherst,MA,01003-0000,,,,,,
A-10,NCAA I,"RHODE ISLAND, UNIVERSITY OF",Melissa Scungio,Head Coach,Women's Cheerleading,Three Keaney Rd.,Kingston,RI,02881-0000,,,,,,
ACC,NCAA I,BOSTON COLLEGE,Alisa Borselli,Head Coach,Women's Cheerleading,140 Commonwealth Ave.,Chestnut Hill,MA,02467-3800,,,,,,
ACC,NCAA I,CLEMSON UNIVERSITY,Tori Palmer,Head Coach,Women's Cheerleading,Jervey Athletic Center,Clemson,SC,29634-0000,,,,,,
ACC,NCAA I,DUKE UNIVERSITY,Alayne Rusnak,Head Coach,Women's Cheerleading,118 Cameron Indoor Stadium,Durham,NC,27708-0000,,,,,,
ACC,NCAA I,GEORGIA TECH,Katie Hodges,Head Coach,Women's Cheerleading,"150 Bobby Dodd Way, NW",Atlanta,GA,30332-0455,,,,,,
ACC,NCAA I,"LOUISVILLE, UNIVERSITY OF",Misty Hodges,Head Coach,Women's Cheerleading,2100 South Floyd St.,Louisville,KY,40292-0000,,,,,,
ACC,NCAA I,"LOUISVILLE, UNIVERSITY OF",Sheryl Knight,Head Coach,Women's Cheerleading,2100 South Floyd St.,Louisville,KY,40292-0000,,,,,,
ACC,NCAA I,"LOUISVILLE, UNIVERSITY OF",James Speed,Head Coach,Women's Cheerleading,2100 South Floyd St.,Louisville,KY,40292-0000,,,,,,
ACC,NCAA I,NORTH CAROLINA STATE UNIVERSITY,Harold Trammel,Head Coach,Women's Cheerleading,2500 Warren Carroll Dr.,Raleigh,NC,27695-0000,,,,,,
ACC,NCAA I,"NORTH CAROLINA, U. OF (Chapel Hill)",Brown Walters,Head Coach,Women's Cheerleading,PO Box 2126,Chapel Hill,NC,27515-2126,,,,,,
ACC,NCAA I,"NOTRE DAME, UNIVERSITY OF",Delayna Herndon,Head Coach,Women's Cheerleading,113 Joyce Center,Notre Dame,IN,46556-0000,,,,,,
ACC,NCAA I,"PITTSBURGH, UNIVERSITY OF",Theresa Nuzzo,Head Coach,Women's Cheerleading,3719 Terrace Street,Pittsburgh,PA,15261-0000,,,,,,
ACC,NCAA I,VIRGINIA POLYTECH. INST. & STATE U. (Virginia Tech),Perren Young,Head Coach,Women's Cheerleading,25 Beamer Way,Blacksburg,VA,24061-0000,,,,,,
ACC,NCAA I,"VIRGINIA, UNIVERSITY OF",Kelley Carter Haney,Head Coach,Women's Cheerleading,Alderman & Massie Rd.,Charlottesville,VA,22904-4846,,,,,,
ACC,NCAA I,WAKE FOREST UNIVERSITY,Bryan Hall,Head Coach,Women's Cheerleading,1834 Wake Forest Rd,Winston Salem,NC,27106-0000,,,,,,
Alabama CC Conf,NJCAA I,SHELTON STATE COMMUNITY COLLEGE,Brittany Crook,Head Coach,Women's Cheerleading,9500 Old Greensboro Rd.,Tuscaloosa,AL,35405-0000,,,,,,
Alabama CC Conf,NJCAA I,SOUTHERN UNION STATE COMMUNITY COLLEGE,Stephanie Railey,Head Coach,Women's Cheerleading,750 Roberts St.,Wadley,AL,36276-0000,,,,,,
Alabama CC Conf,NJCAA I,WALLACE STATE COMMUNITY COLLEGE-HANCEVILLE,Stefany Pate,Head Coach,Women's Cheerleading,801 Main Street NW,Hanceville,AL,35077-0000,,,,,,
Allegheny Mountain,NCAA III,LA ROCHE COLLEGE,Maddie Mastic,Head Coach,Women's Cheerleading,9000 Babcock Blvd,Pittsburgh,PA,15237-5808,,,,,,
Allegheny Mountain,NCAA III,"PITTSBURGH, UNIVERSITY OF (Greensburg)",Nicole Brecht,Head Coach,Women's Cheerleading,150 Finoli Dr.,Greensburg,PA,15601-5860,,,,,,
America East,NCAA I,"HARTFORD, UNIVERSITY OF",Susan Ward,Head Coach,Women's Cheerleading,200 Bloomfield Ave.,West Hartford,CT,06117-1545,,,,,,
American,NCAA I,"CINCINNATI, UNIVERSITY OF",Tabby Fagan,Head Coach,Women's Cheerleading,2751 O'Varsity Way,Cincinnati,OH,45221-0000,,,,,,
American,NCAA I,EAST CAROLINA UNIVERSITY,Susie Glynn,Head Coach,Women's Cheerleading,Ward Sports Medicine Bldg. Rm 365,Greenville,NC,27858-0000,,,,,,
American Midwest,NAIA 1,HARRIS-STOWE STATE UNIVERSITY,Rashandra Burnett,Head Coach,Women's Cheerleading,3026 Laclede Ave,Saint Louis,MO,63103-2136,,,,,,
American Midwest,NAIA 1,LYON COLLEGE,Kristen McMullin,Head Coach,Women's Cheerleading,PO Box 2317,Batesville,AR,72503-2317,,,,,,
American Midwest,NAIA 1,MISSOURI BAPTIST UNIVERSITY,Lizzy Ward,Head Coach,Women's Cheerleading,One College Park Dr.,Saint Louis,MO,63141-0000,,,,,,
American Midwest,NAIA 1,WILLIAM WOODS UNIVERSITY,Kristi Sievert,Head Coach,Women's Cheerleading,One University Ave.,Fulton,MO,65251-1004,,,,,,
American Southwest,NCAA III,BELHAVEN UNIVERSITY,Callie Goss,Head Coach,Women's Cheerleading,1500 Peachtree Street,Jackson,MS,39202-1789,,,,,,
American Southwest,NCAA III,EAST TEXAS BAPTIST UNIV.,Farrah Dunaway,Head Coach,Women's Cheerleading,One Tiger Drive,Marshall,TX,75670-1423,,,,,,
American Southwest,NCAA III,EAST TEXAS BAPTIST UNIV.,Madison Kauffman,Head Coach,Women's Cheerleading,One Tiger Drive,Marshall,TX,75670-1423,,,,,,
American Southwest,NCAA III,HARDIN-SIMMONS UNIVERSITY,Kelsey Berry,Head Coach,Women's Cheerleading,2200 Hickory,Abilene,TX,79698-0000,,,,,,
American Southwest,NCAA III,"OZARKS, UNIV. OF THE",Frances Mills,Head Coach,Women's Cheerleading,415 College Ave.,Clarksville,AR,72830-2880,,,,,,
American Southwest,NCAA III,"TEXAS AT TYLER, UNIVERSITY OF",Maggie Williams Koehn,Head Coach,Women's Cheerleading,3900 University Blvd.,Tyler,TX,75799-0000,,,,,,
Appalachian,NAIA 1,BLUEFIELD COLLEGE,Sara Goodson,Head Coach,Women's Cheerleading,3000 College Dr.,Bluefield,VA,24605-1737,,,,,,
Appalachian,NAIA 1,BRENAU UNIVERSITY,Krista Britt,Head Coach,Women's Cheerleading,500 Washington St. SE,Gainesville,GA,30501-0000,,,,,,
Appalachian,NAIA 1,MILLIGAN COLLEGE,Ronda Paulson,Head Coach,Women's Cheerleading,1 Blowers Blvd,Milligan College,TN,37682-0000,,,,,,
Appalachian,NAIA 1,TENNESSEE WESLEYAN COLLEGE,Kim Layman,Head Coach,Women's Cheerleading,204 E. College St,Athens,TN,37303-0040,,,,,,
Arizona CC Athletic Conf,NJCAA I,ARIZONA WESTERN COLLEGE,Tiffany Minnick,Head Coach,Women's Cheerleading,2020 South Avenue 8E,Yuma,AZ,85365-0000,,,,,,
Arizona CC Athletic Conf,NJCAA I,GLENDALE COMMUNITY COLLEGE,James Marinaro,Head Coach,Women's Cheerleading,6000 West Olive Avenue,Glendale,AZ,85302-3006,,,,,,
Assoc. Independent Institutions,NAIA 1,FISHER COLLEGE,Jessika Mantenuto,Co-Head Coach,Women's Cheerleading,118 Beacon St.,Boston,MA,02116-0000,,,,,,
Assoc. Independent Institutions,NAIA 1,FISHER COLLEGE,Janice Dominguez,Co-Head Coach,Women's Cheerleading,118 Beacon St.,Boston,MA,02116-0000,,,,,,
Assoc. Independent Institutions,NAIA 1,HASKELL INDIAN NATIONS U.,Brittney Hall,Head Coach,Women's Cheerleading,155 Indian Avenue,Lawrence,KS,66046-0000,,,,,,
Assoc. Independent Institutions,NAIA 1,WILBERFORCE UNIVERSITY,Danita Pearl,Head Coach,Women's Cheerleading,1055 N Bickett Rd,Wilberforce,OH,45384-0000,,,,,,
Atlantic Sun,NCAA I,KENNESAW STATE UNIVERSITY,Charlie Asciutto,Head Coach,Women's Cheerleading,590 Cobb Ave.,Kennesaw,GA,30144-0000,,,,,,
Big 12,NCAA I,"KANSAS, UNIVERSITY OF",Cat Jarzemkoski,Head Coach,Women's Cheerleading,1651 Naismith Drive,Lawrence,KS,66045-0000,,,,,,
Big 12,NCAA I,OKLAHOMA STATE UNIVERSITY,Lindsay Salliotte,Head Coach,Women's Cheerleading,OSU Athletics Center,Stillwater,OK,74078-5070,,,,,,
Big East,NCAA I,BUTLER UNIVERSITY,Jamie Troyer,Head Coach,Women's Cheerleading,510 W. 49th Street,Indianapolis,IN,46208-3443,,,,,,
Big East,NCAA I,PROVIDENCE COLLEGE,Melissa Scungio,Head Coach,Women's Cheerleading,1 Cunningham Square,Providence,RI,02918-0001,,,,,,
Big East,NCAA I,ST. JOHN'S UNIVERSITY,Carolyn Renda,Head Coach,Women's Cheerleading,8000 Utopia Pkwy,Queens,NY,11439-0000,,,,,,
Big Sky,NCAA I,IDAHO STATE UNIVERSITY,Misty Stucki,Head Coach,Women's Cheerleading,921 S 8th Ave,Pocatello,ID,83209-8173,,,,,,
Big Sky,NCAA I,"IDAHO, UNIVERSITY OF",Sharon Meador,Head Coach,Women's Cheerleading,Kibbie Activity Center,Moscow,ID,83844-2302,,,,,,
Big Sky,NCAA I,"MONTANA, UNIVERSITY OF",Stacey Richards,Head Coach,Women's Cheerleading,"Hoyt Athletic Complex, Adams Center",Missoula,MT,59812-0000,,,,,,
Big Sky,NCAA I,"NORTH DAKOTA, UNIV. OF",Breanna Linert,Head Coach,Women's Cheerleading,Hyslop Sports Center Rm 120,Grand Forks,ND,58202-9013,,,,,,
Big Sky,NCAA I,PORTLAND STATE UNIVERSITY,Davontra Ford,Head Coach,Women's Cheerleading,527 SW Hall,Portland,OR,97201-0000,,,,,,
Big Sky,NCAA I,WEBER STATE UNIVERSITY,Summer Willis,Head Coach,Women's Cheerleading,3870 Stadium Way Dept. 2701,Ogden,UT,84408-0000,,,,,,
Big South,NCAA I,GARDNER-WEBB UNIVERSITY,Lenea Brewton-Walker,Head Coach,Women's Cheerleading,110 S. Main Street,Boiling Springs,NC,28017-0000,,,,,,
Big South,NCAA I,LONGWOOD UNIVERSITY,Megan Miller,Head Coach,Women's Cheerleading,201 High St.,Farmville,VA,23909-1800,,,,,,
Big South,NCAA I,PRESBYTERIAN COLLEGE,Ashley Patrick,Head Coach,Women's Cheerleading,105 Ashland Avenue,Clinton,SC,29325-2960,,,,,,
Big South,NCAA I,RADFORD UNIVERSITY,Shannon Woodfin,Head Coach,Women's Cheerleading,501 Stockton Street,Radford,VA,24142-0000,,,,,,
Big Ten,NCAA I,INDIANA UNIVERSITY,Julia Clements,Head Coach,Women's Cheerleading,1001 E. 17th Street,Bloomington,IN,47408-1590,,,,,,
Big Ten,NCAA I,"MARYLAND, U. OF (College Park)",Yasmin Viera,Head Coach,Women's Cheerleading,Comcast Center,College Park,MD,20742-0000,,,,,,
Big Ten,NCAA I,MICHIGAN STATE UNIVERSITY,Elyse Packard,Head Coach,Women's Cheerleading,Room 248 Jenison Field House,East Lansing,MI,48824-1025,,,,,,
Big Ten,NCAA I,"MICHIGAN, UNIVERSITY OF",Pam St. John,Head Coach,Women's Cheerleading,1000 South State Street,Ann Arbor,MI,48109-2201,,,,,,
Big Ten,NCAA I,PENN STATE UNIVERSITY,Curtis White,Head Coach,Women's Cheerleading,127 Bryce Jordan Ctr.,University Park,PA,16802-0000,,,,,,
Big Ten,NCAA I,PURDUE UNIVERSITY,Steve Solberg,Head Coach,Women's Cheerleading,900 John R. Wooden Drive,West Lafayette,IN,47907-2070,,,,,,
Big Ten,NCAA I,"RUTGERS, THE STATE U. OF NEW JERSEY",Christine Zoffinger,Head Coach,Women's Cheerleading,Rutgers Athletic Center,Piscataway,NJ,08854-8053,,,,,,
